IMG_NO,이미지파일,실제_기부가능여부,AI_예측_기부가능여부,정확도,AI_장난감종류,AI_재료,AI_파손,AI_오염도,AI_기부불가사유,실제_장난감종류,실제_재료,실제_부품완전성,실제_오염도
43,0043,img_0043_front,불가능,가능,오류,변신 로봇,플라스틱,없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",변신 로봇,플라스틱,일부 없음,더러움 (재활용 불가)
44,0044,img_0044_front,불가능,가능,오류,기타,플라스틱,없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",건전지 장난감 (사운드북 포함),플라스틱,판단 불가,보통
45,0045,img_0045_front,불가능,가능,오류,피규어,플라스틱,없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",피규어,플라스틱,일부 없음,보통
46,0046,img_0046_front,불가능,가능,오류,자동차 장난감,"플라스틱, 금속",없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",자동차 장난감,플라스틱,일부 없음,더러움 (재활용 불가)
47,0047,img_0047_front,불가능,가능,오류,변신 로봇,"플라스틱, 금속",경미한 파손,보통,"플라스틱 비건전지 장난감, 상태 양호",자동차 장난감,플라스틱,일부 없음,더러움 (재활용 불가)
48,0048,img_0048_front,불가능,가능,오류,피규어,플라스틱,없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",피규어,"플라스틱, 실리콘",판단 불가,보통
49,0049,img_0049_front,불가능,가능,오류,피규어,플라스틱,미세한 파손,깨끗,"플라스틱 비건전지 장난감, 상태 양호",건전지 장난감 (사운드북 포함),플라스틱,일부 없음,보통
50,0050,img_0050_front,불가능,가능,오류,자동차 장난감,플라스틱,미세한 파손,보통,"플라스틱 비건전지 장난감, 상태 양호",자동차 장난감,플라스틱,있음,더러움 (재활용 불가)
51,0051,img_0051_front,불가능,가능,오류,자동차 장난감,"플라스틱,금속",미세한 파손,깨끗,"플라스틱 비건전지 장난감, 상태 양호",자동차 장난감,플라스틱,일부 없음,더러움 (재활용 불가)
52,0052,img_0052_front,불가능,가능,오류,자동차 장난감,"플라스틱, 금속",없음,보통,"플라스틱 비건전지 장난감, 상태 양호",변신 로봇,플라스틱,일부 없음,보통
53,0053,img_0053_front,불가능,가능,오류,자동차 장난감,"플라스틱,금속",없음,깨끗,"플라스틱 건전지 장난감, 상태 양호",자동차 장난감,플라스틱,일부 없음,보통
54,0054,img_0054_front,불가능,가능,오류,자동차 장난감,"플라스틱, 금속",미세한 파손,보통,"플라스틱 비건전지 장난감, 상태 양호",자동차 장난감,플라스틱,일부 없음,더러움 (재활용 불가)
55,0055,img_0055_front,불가능,가능,오류,자동차 장난감,"플라스틱,금속",미세한 파손,깨끗,"플라스틱 비건전지 장난감, 상태 양호",자동차 장난감,플라스틱,일부 없음,보통
56,0056,img_0056_front,불가능,불가능,정확,플라스틱 부품,플라스틱,경미한 파손,깨끗,플라스틱 부품은 기부 불가,기타,플라스틱,판단 불가,보통
57,0057,img_0057_front,불가능,가능,오류,피규어,플라스틱,없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",피규어,플라스틱,일부 없음,깨끗 (미세소독 필요)
58,0058,img_0058_front,가능,가능,정확,건전지 장난감,플라스틱,없음,깨끗,"플라스틱 건전지 장난감, 상태 양호",건전지 장난감 (사운드북 포함),플라스틱,있음,깨끗 (미세소독 필요)
59,0059,img_0059_front,가능,가능,정확,기타,"플라스틱, 플라스틱",없음,보통,"플라스틱 비건전지 장난감, 상태 양호",비건전지 장난감 (,플라스틱,있음,깨끗 (미세소독 필요)
60,0060,img_0060_front,가능,가능,정확,건전지 장난감,플라스틱,없음,깨끗,"플라스틱 건전지 장난감, 상태 양호",건전지 장난감 (사운드북 포함),플라스틱,있음,깨끗 (미세소독 필요)
61,0061,img_0061_front,가능,가능,정확,기타,플라스틱,없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",건전지 장난감 (사운드북 포함),플라스틱,있음,깨끗 (미세소독 필요)
62,0062,img_0062_front,가능,가능,정확,자동차 장난감,"플라스틱, 금속",없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",자동차 장난감,플라스틱,있음,깨끗 (미세소독 필요)
63,0063,img_0063_front,가능,가능,정확,자동차 장난감,"플라스틱, 금속",없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",자동차 장난감,플라스틱,있음,깨끗 (미세소독 필요)
64,0064,img_0064_front,가능,가능,정확,건전지 장난감,플라스틱,없음,깨끗,"플라스틱 건전지 장난감, 상태 양호",건전지 장난감 (사운드북 포함),플라스틱,있음,깨끗 (미세소독 필요)
65,0065,img_0065_front,가능,가능,정확,모형,플라스틱,미세한 파손,깨끗,"플라스틱 비건전지 장난감, 상태 양호",비건전지 장난감 (,플라스틱,있음,깨끗 (미세소독 필요)
66,0066,img_0066_front,가능,가능,정확,모형,플라스틱,없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",비건전지 장난감 (,플라스틱,있음,깨끗 (미세소독 필요)
67,0067,img_0067_front,가능,가능,정확,비건전지 장난감,플라스틱,없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",건전지 장난감 (사운드북 포함),플라스틱,있음,깨끗 (미세소독 필요)
68,0068,img_0068_front,가능,가능,정확,기타,"플라스틱,금속",없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",비건전지 장난감 (,플라스틱,있음,깨끗 (미세소독 필요)
69,0069,img_0069_front,가능,가능,정확,건전지 장난감,플라스틱,없음,깨끗,"플라스틱 건전지 장난감, 상태 양호",건전지 장난감 (사운드북 포함),플라스틱,있음,깨끗 (미세소독 필요)
70,0070,img_0070_front,가능,가능,정확,기타,"플라스틱,금속",없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",비건전지 장난감 (,플라스틱,있음,깨끗 (미세소독 필요)
71,0071,img_0071_front,가능,가능,정확,피규어,플라스틱,없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",피규어,플라스틱,있음,깨끗 (미세소독 필요)
72,0072,img_0072_front,가능,가능,정확,기타,"플라스틱,금속",없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",비건전지 장난감 (,플라스틱,일부 없음,보통
73,0073,img_0073_front,가능,가능,정확,피규어,플라스틱,없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",피규어,플라스틱,있음,깨끗 (미세소독 필요)
74,0074,img_0074_front,가능,가능,정확,피규어,플라스틱,없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",피규어,플라스틱,있음,깨끗 (미세소독 필요)
75,0075,img_0075_front,가능,가능,정확,기타,플라스틱,없음,보통,"플라스틱 비건전지 장난감, 상태 양호",비건전지 장난감 (,플라스틱,있음,깨끗 (미세소독 필요)
76,0076,img_0076_front,가능,가능,정확,모형,플라스틱,미세한 파손,깨끗,"플라스틱 비건전지 장난감, 상태 양호",비건전지 장난감 (,플라스틱,있음,깨끗 (미세소독 필요)
77,0077,img_0077_front,가능,가능,정확,비건전지 장난감,플라스틱,미세한 파손,보통,"플라스틱 비건전지 장난감, 상태 양호",비건전지 장난감 (,플라스틱,있음,깨끗 (미세소독 필요)
78,0078,img_0078_front,가능,가능,정확,건전지 장난감,플라스틱,없음,깨끗,"플라스틱 건전지 장난감, 상태 양호",건전지 장난감 (사운드북 포함),플라스틱,있음,깨끗 (미세소독 필요)
79,0079,img_0079_front,가능,가능,정확,기타,플라스틱,없음,깨끗,"플라스틱 건전지 장난감, 상태 양호",비건전지 장난감 (,플라스틱,있음,깨끗 (미세소독 필요)
80,0080,img_0080_front,가능,가능,정확,건전지 장난감,플라스틱,없음,깨끗,"플라스틱 건전지 장난감, 상태 양호",건전지 장난감 (사운드북 포함),플라스틱,있음,깨끗 (미세소독 필요)
81,0081,img_0081_front,가능,가능,정확,피규어,플라스틱,없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",건전지 장난감 (사운드북 포함),플라스틱,있음,깨끗 (미세소독 필요)
82,0082,img_0082_front,가능,불가능,오류,자동차 장난감,"플라스틱, 고무",없음,깨끗,실리콘/고무 소재는 재활용 불가능,변신 로봇,플라스틱,있음,깨끗 (미세소독 필요)
83,0083,img_0083_front,가능,가능,정확,비건전지 장난감,플라스틱,없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",비건전지 장난감 (,플라스틱,있음,깨끗 (미세소독 필요)
84,0084,img_0084_front,가능,가능,정확,변신 로봇,플라스틱,없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",피규어,플라스틱,있음,깨끗 (미세소독 필요)
85,0085,img_0085_front,가능,가능,정확,자동차 장난감,플라스틱,없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",자동차 장난감,플라스틱,있음,깨끗 (미세소독 필요)
86,0086,img_0086_front,가능,가능,정확,기타,플라스틱,없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",비건전지 장난감 (,플라스틱,있음,깨끗 (미세소독 필요)
87,0087,img_0087_front,가능,가능,정확,건전지 장난감,플라스틱,없음,보통,"플라스틱 건전지 장난감, 상태 양호",건전지 장난감 (사운드북 포함),플라스틱,있음,깨끗 (미세소독 필요)
88,0088,img_0088_front,가능,가능,정확,자동차 장난감,플라스틱,없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",비건전지 장난감 (,플라스틱,있음,깨끗 (미세소독 필요)
89,0089,img_0089_front,가능,불가능,오류,기타,"플라스틱, 금속",미세한 파손,보통,심각한 파손으로 완제품 기부 불가,비건전지 장난감 (,플라스틱,있음,깨끗 (미세소독 필요)
90,0090,img_0090_front,가능,가능,정확,변신 로봇,플라스틱,없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",피규어,플라스틱,있음,깨끗 (미세소독 필요)
91,0091,img_0091_front,가능,가능,정확,변신 로봇,플라스틱,없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",피규어,플라스틱,있음,깨끗 (미세소독 필요)
92,0092,img_0092_front,가능,가능,정확,자동차 장난감,플라스틱,없음,보통,"플라스틱 비건전지 장난감, 상태 양호",자동차 장난감,플라스틱,있음,깨끗 (미세소독 필요)
93,0093,img_0093_front,가능,불가능,오류,자동차 장난감,"플라스틱,고무",없음,깨끗,실리콘/고무 소재는 재활용 불가능,자동차 장난감,플라스틱,있음,깨끗 (미세소독 필요)
94,0094,img_0094_front,가능,가능,정확,자동차 장난감,"플라스틱, 금속",없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",자동차 장난감,플라스틱,있음,깨끗 (미세소독 필요)
95,0095,img_0095_front,가능,가능,정확,피규어,플라스틱,없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",피규어,플라스틱,있음,깨끗 (미세소독 필요)
96,0096,img_0096_front,가능,가능,정확,건전지 장난감,플라스틱,없음,깨끗,"플라스틱 건전지 장난감, 상태 양호",비건전지 장난감 (,플라스틱,있음,깨끗 (미세소독 필요)
97,0097,img_0097_front,가능,가능,정확,변신 로봇,"플라스틱, 금속",없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",자동차 장난감,플라스틱,있음,깨끗 (미세소독 필요)
98,0098,img_0098_front,가능,불가능,오류,자동차 장난감,"플라스틱, 고무",미세한 파손,깨끗,실리콘/고무 소재는 재활용 불가능,자동차 장난감,플라스틱,있음,깨끗 (미세소독 필요)
99,0099,img_0099_front,가능,가능,정확,건전지 장난감,플라스틱,없음,깨끗,"플라스틱 건전지 장난감, 상태 양호",건전지 장난감 (사운드북 포함),플라스틱,있음,깨끗 (미세소독 필요)
